MAP,10,-30,30,2
MAP,10,-32,29,1
MAP,10,-31,33,2
MAP,10,-31,27,2
MAP,10,-33,31,2
MAP,10,-29,30,1
MAP,10,-31,28,2
MAP,10,-31,29,1
MAP,10,-29,31,1
MAP,10,-30,27,2
MAP,10,-32,30,2
MAP,10,-27,29,1
MAP,10,-30,28,1
MAP,10,-32,31,1
MAP,10,-32,32,2
MAP,10,-29,27,2
MAP,10,-28,31,2
MAP,10,-32,33,2
MAP,10,-31,30,2
MAP,10,-27,30,1
MAP,10,-31,31,2
MAP,10,-29,29,1
MAP,10,-27,31,2
MAP,10,-32,28,2
MAP,10,-31,32,1
MAP,20,-31,33,2
MAP,20,-30,30,1
MAP,20,-32,29,1
MAP,20,-27,32,1
MAP,20,-31,27,2
MAP,20,-28,29,1
MAP,20,-27,33,2
MAP,20,-33,31,2
MAP,20,-29,30,2
MAP,20,-31,28,2
MAP,20,-29,31,1
MAP,20,-31,29,1
MAP,20,-30,27,2
MAP,20,-27,29,1
MAP,20,-32,30,2
MAP,20,-30,28,1
MAP,20,-29,33,2
MAP,20,-28,30,2
MAP,20,-33,27,2
MAP,20,-32,31,1
MAP,20,-29,27,2
MAP,20,-30,29,1
MAP,20,-28,31,1
MAP,20,-32,32,2
MAP,20,-32,33,2
MAP,20,-33,29,2
MAP,20,-26,29,1
MAP,20,-31,30,2
MAP,20,-28,32,1
MAP,20,-29,29,1
MAP,20,-31,31,2
MAP,20,-27,30,2
MAP,20,-28,33,2
MAP,20,-27,31,2
MAP,20,-32,28,2
MAP,20,-31,32,1
MAP,30,-31,33,2
MAP,30,-30,30,1
MAP,30,-32,29,1
MAP,30,-27,32,1
MAP,30,-25,29,2
MAP,30,-28,28,1
MAP,30,-31,27,2
MAP,30,-28,29,1
MAP,30,-26,30,2
MAP,30,-27,33,2
MAP,30,-33,31,2
MAP,30,-31,28,2
MAP,30,-29,30,1
MAP,30,-31,29,1
MAP,30,-29,31,1
MAP,30,-30,27,2
MAP,30,-27,29,1
MAP,30,-32,30,2
MAP,30,-26,33,2
MAP,30,-30,28,1
MAP,30,-29,33,2
MAP,30,-28,30,2
MAP,30,-33,27,2
MAP,30,-26,27,2
MAP,30,-32,31,1
MAP,30,-29,27,2
MAP,30,-30,29,1
MAP,30,-28,31,1
MAP,30,-33,28,2
MAP,30,-32,32,2
MAP,30,-26,28,2
MAP,30,-32,33,2
MAP,30,-33,29,2
MAP,30,-28,32,1
MAP,30,-31,30,1
MAP,30,-26,29,2
MAP,30,-29,29,1
MAP,30,-28,33,2
MAP,30,-27,30,1
MAP,30,-25,27,2
MAP,30,-32,27,2
MAP,30,-31,31,1
MAP,30,-27,31,2
MAP,30,-32,28,1
MAP,30,-25,28,1
MAP,30,-31,32,1
MAP,40,-30,30,1
MAP,40,-32,29,1
MAP,40,-27,32,1
MAP,40,-25,29,2
MAP,40,-28,28,1
MAP,40,-31,33,2
MAP,40,-31,27,2
MAP,40,-28,29,1
MAP,40,-27,33,2
MAP,40,-26,30,1
MAP,40,-33,31,2
MAP,40,-31,28,2
MAP,40,-29,30,1
MAP,40,-24,28,1
MAP,40,-27,27,2
MAP,40,-31,29,1
MAP,40,-29,31,1
MAP,40,-26,32,1
MAP,40,-27,28,1
MAP,40,-24,29,1
MAP,40,-30,27,2
MAP,40,-27,29,1
MAP,40,-32,30,2
MAP,40,-26,33,2
MAP,40,-29,32,1
MAP,40,-25,30,1
MAP,40,-30,28,1
MAP,40,-29,33,2
MAP,40,-28,30,2
MAP,40,-33,27,2
MAP,40,-26,27,2
MAP,40,-32,31,1
MAP,40,-25,31,2
MAP,40,-29,27,2
MAP,40,-30,29,1
MAP,40,-28,31,1
MAP,40,-33,28,2
MAP,40,-26,28,1
MAP,40,-25,32,1
MAP,40,-32,32,2
MAP,40,-32,33,2
MAP,40,-28,32,1
MAP,40,-26,29,1
MAP,40,-31,30,2
MAP,40,-33,29,2
MAP,40,-29,29,1
MAP,40,-28,33,2
MAP,40,-27,30,1
MAP,40,-25,27,2
MAP,40,-32,27,2
MAP,40,-31,31,1
MAP,40,-27,31,2
MAP,40,-28,27,2
MAP,40,-31,32,1
MAP,40,-25,28,1
MAP,40,-32,28,1
MAP,50,-27,32,1
MAP,50,-28,28,1
MAP,50,-25,29,1
MAP,50,-31,33,2
MAP,50,-24,33,2
MAP,50,-30,30,1
MAP,50,-32,29,1
MAP,50,-31,27,2
MAP,50,-28,29,1
MAP,50,-27,33,2
MAP,50,-26,30,1
MAP,50,-33,31,2
MAP,50,-31,28,2
MAP,50,-27,27,2
MAP,50,-24,28,1
MAP,50,-29,30,1
MAP,50,-31,29,1
MAP,50,-29,31,1
MAP,50,-26,32,1
MAP,50,-27,28,1
MAP,50,-30,33,2
MAP,50,-23,33,2
MAP,50,-24,29,2
MAP,50,-30,27,2
MAP,50,-27,29,1
MAP,50,-32,30,2
MAP,50,-26,33,2
MAP,50,-25,30,1
MAP,50,-29,32,1
MAP,50,-30,28,1
MAP,50,-28,30,2
MAP,50,-33,27,2
MAP,50,-26,27,2
MAP,50,-32,31,1
MAP,50,-25,31,2
MAP,50,-29,33,2
MAP,50,-29,27,2
MAP,50,-30,29,1
MAP,50,-28,31,1
MAP,50,-26,28,1
MAP,50,-32,32,2
MAP,50,-25,32,1
MAP,50,-33,28,2
MAP,50,-23,29,1
MAP,50,-32,33,2
MAP,50,-28,32,1
MAP,50,-26,29,1
MAP,50,-31,30,2
MAP,50,-24,30,1
MAP,50,-25,33,2
MAP,50,-33,29,2
MAP,50,-29,29,1
MAP,50,-27,30,1
MAP,50,-25,27,2
MAP,50,-32,27,2
MAP,50,-24,31,2
MAP,50,-31,31,1
MAP,50,-28,33,2
MAP,50,-27,31,2
MAP,50,-28,27,2
MAP,50,-32,28,1
MAP,50,-25,28,1
MAP,50,-24,32,1
MAP,50,-31,32,1
MAP,60,-27,32,1
MAP,60,-28,28,1
MAP,60,-25,29,1
MAP,60,-30,30,1
MAP,60,-24,33,2
MAP,60,-32,29,1
MAP,60,-23,30,1
MAP,60,-31,33,2
MAP,60,-31,27,2
MAP,60,-27,33,2
MAP,60,-26,30,1
MAP,60,-28,29,2
MAP,60,-24,27,2
MAP,60,-33,30,2
MAP,60,-33,31,2
MAP,60,-31,28,2
MAP,60,-27,27,2
MAP,60,-24,28,1
MAP,60,-29,30,1
MAP,60,-21,29,1
MAP,60,-23,32,1
MAP,60,-31,29,1
MAP,60,-29,31,1
MAP,60,-26,32,1
MAP,60,-27,28,1
MAP,60,-30,33,2
MAP,60,-23,33,2
MAP,60,-24,29,2
MAP,60,-30,27,2
MAP,60,-27,29,1
MAP,60,-32,30,2
MAP,60,-26,33,2
MAP,60,-25,30,1
MAP,60,-29,32,1
MAP,60,-23,27,2
MAP,60,-30,28,1
MAP,60,-28,30,2
MAP,60,-33,27,2
MAP,60,-26,27,2
MAP,60,-32,31,1
MAP,60,-25,31,2
MAP,60,-29,33,2
MAP,60,-23,28,1
MAP,60,-29,27,2
MAP,60,-30,29,1
MAP,60,-28,31,1
MAP,60,-26,28,1
MAP,60,-32,32,2
MAP,60,-25,32,1
MAP,60,-33,28,2
MAP,60,-23,29,1
MAP,60,-21,30,1
MAP,60,-28,32,1
MAP,60,-26,29,1
MAP,60,-25,33,2
MAP,60,-31,30,1
MAP,60,-24,30,1
MAP,60,-32,33,2
MAP,60,-29,28,1
MAP,60,-33,29,2
MAP,60,-22,27,2
MAP,60,-27,30,1
MAP,60,-25,27,2
MAP,60,-32,27,2
MAP,60,-24,31,2
MAP,60,-31,31,1
MAP,60,-29,29,1
MAP,60,-28,33,2
MAP,60,-27,31,2
MAP,60,-28,27,2
MAP,60,-32,28,1
MAP,60,-25,28,1
MAP,60,-24,32,1
MAP,60,-22,29,1
MAP,60,-31,32,1
MAP,70,-27,32,1
MAP,70,-28,28,1
MAP,70,-25,29,1
MAP,70,-30,30,1
MAP,70,-24,33,2
MAP,70,-23,30,1
MAP,70,-32,29,1
MAP,70,-31,33,2
MAP,70,-31,27,2
MAP,70,-27,33,2
MAP,70,-26,30,1
MAP,70,-28,29,2
MAP,70,-24,27,2
MAP,70,-33,30,2
MAP,70,-30,31,1
MAP,70,-33,31,2
MAP,70,-31,28,2
MAP,70,-27,27,2
MAP,70,-24,28,1
MAP,70,-29,30,1
MAP,70,-21,29,1
MAP,70,-23,32,1
MAP,70,-30,32,1
MAP,70,-31,29,1
MAP,70,-29,31,1
MAP,70,-26,32,1
MAP,70,-27,28,1
MAP,70,-30,33,2
MAP,70,-23,33,2
MAP,70,-24,29,2
MAP,70,-30,27,2
MAP,70,-27,29,1
MAP,70,-26,33,2
MAP,70,-25,30,1
MAP,70,-29,32,1
MAP,70,-23,27,2
MAP,70,-32,30,1
MAP,70,-30,28,2
MAP,70,-28,30,2
MAP,70,-33,27,2
MAP,70,-26,27,2
MAP,70,-32,31,1
MAP,70,-25,31,2
MAP,70,-23,28,1
MAP,70,-22,32,1
MAP,70,-29,33,2
MAP,70,-29,27,2
MAP,70,-30,29,1
MAP,70,-28,31,1
MAP,70,-26,28,1
MAP,70,-25,32,1
MAP,70,-33,28,2
MAP,70,-23,29,2
MAP,70,-21,30,1
MAP,70,-32,32,1
MAP,70,-26,29,1
MAP,70,-25,33,2
MAP,70,-31,30,1
MAP,70,-24,30,1
MAP,70,-32,33,2
MAP,70,-29,28,1
MAP,70,-33,29,2
MAP,70,-22,27,2
MAP,70,-28,32,1
MAP,70,-27,30,1
MAP,70,-25,27,2
MAP,70,-32,27,2
MAP,70,-24,31,2
MAP,70,-31,31,2
MAP,70,-29,29,1
MAP,70,-28,33,2
MAP,70,-22,28,1
