0,1,-4.545300,4.148360
1,1,-4.701740,4.511400
2,1,-4.681450,4.810460
3,1,-4.047620,4.509650
4,1,-4.544630,4.504490
5,1,-4.132410,4.648310
6,1,-4.358770,4.077210
7,1,-4.711350,4.276190
8,1,-4.793470,4.679020
9,1,-4.307940,4.370230
0,2,-4.544613,4.147466
1,2,-4.699976,4.507223
2,2,-4.683666,4.809186
3,2,-4.044615,4.504974
4,2,-4.539646,4.506793
5,2,-4.133756,4.651271
6,2,-4.357267,4.076195
7,2,-4.712503,4.275489
8,2,-4.789805,4.676229
9,2,-4.308229,4.371549
0,3,-4.543858,4.146482
1,3,-4.697856,4.501575
2,3,-4.686568,4.807382
3,3,-4.041104,4.499527
4,3,-4.531721,4.510183
5,3,-4.135243,4.654566
6,3,-4.355635,4.075090
7,3,-4.713784,4.274687
8,3,-4.785688,4.672874
9,3,-4.308522,4.373020
0,4,-4.543107,4.145503
1,4,-4.696237,4.496576
2,4,-4.690483,4.804651
3,4,-4.037605,4.494119
4,4,-4.526063,4.512413
5,4,-4.136445,4.657247
6,4,-4.354047,4.074011
7,4,-4.715070,4.273852
8,4,-4.781746,4.669386
9,4,-4.308781,4.374497
0,5,-4.542359,4.144526
1,5,-4.694852,4.491741
2,5,-4.694480,4.801383
3,5,-4.035300,4.490568
4,5,-4.520654,4.514457
5,5,-4.136861,4.658183
6,5,-4.352497,4.072954
7,5,-4.716372,4.272975
8,5,-4.778007,4.665796
9,5,-4.309007,4.375980
0,6,-4.541610,4.143547
1,6,-4.693648,4.486983
2,6,-4.698143,4.797822
3,6,-4.033523,4.487841
4,6,-4.515656,4.516296
5,6,-4.137078,4.658675
6,6,-4.350981,4.071917
7,6,-4.717702,4.272048
8,6,-4.774481,4.662123
9,6,-4.309198,4.377468
0,7,-4.540864,4.142571
1,7,-4.692616,4.482305
2,7,-4.701426,4.794025
3,7,-4.031995,4.485504
4,7,-4.511259,4.517874
5,7,-4.137339,4.659275
6,7,-4.349496,4.070898
7,7,-4.719076,4.271057
8,7,-4.769772,4.656784
9,7,-4.309356,4.378959
0,8,-4.540111,4.141586
1,8,-4.691880,4.478421
2,8,-4.704319,4.790034
3,8,-4.030633,4.483429
4,8,-4.507433,4.519211
5,8,-4.137674,4.660064
6,8,-4.348038,4.069894
7,8,-4.720505,4.269989
8,8,-4.764342,4.649975
9,8,-4.309481,4.380454
0,9,-4.539350,4.140591
1,9,-4.691315,4.475009
2,9,-4.706817,4.785899
3,9,-4.029395,4.481550
4,9,-4.504118,4.520339
5,9,-4.138070,4.661027
6,9,-4.346604,4.068904
7,9,-4.721984,4.268846
8,9,-4.761453,4.645954
9,9,-4.309572,4.381951
0,10,-4.538581,4.139585
1,10,-4.690837,4.471841
2,10,-4.708917,4.781668
3,10,-4.028253,4.479821
4,10,-4.501213,4.521300
5,10,-4.138504,4.662138
6,10,-4.345193,4.067925
7,10,-4.723499,4.267634
8,10,-4.759156,4.642508
9,10,-4.309631,4.383463
0,11,-4.537807,4.138572
1,11,-4.690386,4.468681
2,11,-4.710625,4.777386
3,11,-4.027184,4.478209
4,11,-4.498639,4.522128
5,11,-4.138958,4.663365
6,11,-4.343801,4.066958
7,11,-4.725034,4.266363
8,11,-4.757080,4.639234
9,11,-4.309657,4.384980
0,12,-4.537025,4.137551
1,12,-4.689928,4.465382
2,12,-4.711955,4.773093
3,12,-4.026172,4.476689
4,12,-4.496321,4.522851
5,12,-4.139414,4.664682
6,12,-4.342428,4.066000
7,12,-4.726575,4.265041
8,12,-4.755196,4.636107
9,12,-4.309649,4.386499
0,13,-4.536239,4.136523
1,13,-4.689450,4.461906
2,13,-4.712924,4.768820
3,13,-4.025204,4.475239
4,13,-4.494209,4.523492
5,13,-4.139858,4.666063
6,13,-4.341071,4.065051
7,13,-4.728113,4.263676
8,13,-4.753470,4.633089
9,13,-4.309609,4.388020
0,14,-4.535448,4.135489
1,14,-4.688947,4.458272
2,14,-4.713640,4.765094
3,14,-4.024268,4.473843
4,14,-4.492272,4.524062
5,14,-4.140279,4.667486
6,14,-4.339728,4.064109
7,14,-4.729636,4.262276
8,14,-4.751785,4.629635
9,14,-4.309537,4.389539
0,15,-4.534651,4.134450
1,15,-4.688407,4.454425
2,15,-4.714124,4.761824
3,15,-4.023358,4.472488
4,15,-4.490482,4.524571
5,15,-4.140670,4.668932
6,15,-4.338399,4.063174
7,15,-4.731134,4.260852
8,15,-4.750127,4.625779
9,15,-4.309432,4.391055
0,16,-4.533851,4.133405
1,16,-4.687817,4.450313
2,16,-4.714901,4.758527
3,16,-4.022466,4.471166
4,16,-4.488821,4.525030
5,16,-4.141026,4.670390
6,16,-4.337083,4.062244
7,16,-4.732596,4.259415
8,16,-4.748550,4.621878
9,16,-4.309296,4.392563
0,17,-4.533045,4.132356
1,17,-4.687181,4.446005
2,17,-4.715197,4.755192
3,17,-4.021588,4.469868
4,17,-4.487273,4.525444
5,17,-4.141348,4.671854
