,arena_type,robots,algorithm,reached_ratio,reached_ratio,mean_time_sec,mean_time_sec,total_distance,total_distance,scatter_density,scatter_density,scatter_size,scatter_size
,,,,mean,std,mean,std,mean,std,mean,std,mean,std
32,scatter,7,flood_fill,0.0,0.0,0.0,0.0,0.38203462330143123,0.08884895625601565,0.20985221258877793,0.24697660475436684,1.0449662481918798,0.630904752667775
33,scatter,7,projet,0.0,0.0,0.0,0.0,0.08271987709017734,0.022518264648579426,0.3413201143714963,0.1815767646942092,0.9351267912717809,0.6720130239899412
34,scatter,7,pso,0.0,0.0,0.0,0.0,0.10033122146445035,0.02002090490194014,0.3227226721695421,0.21984169932069203,0.9615119064361171,0.40652027537486923
35,scatter,8,aco,0.0,0.0,0.0,0.0,0.4078515212173982,0.05873240881297139,0.21824723462066617,0.2675219932241961,1.1556471167589775,0.4689078517402674
36,scatter,8,coverage,0.0,0.0,0.0,0.0,0.36849544340932494,0.06975633058303009,0.4125060628462209,0.20068981887824086,1.3427749458916591,0.46512385796438155
37,scatter,8,flood_fill,0.0,0.0,0.0,0.0,0.4569110908492098,0.08741215103401795,0.4134890564641852,0.30319122340580545,1.089176445795531,0.551355421601396
38,scatter,8,projet,0.0,0.0,0.0,0.0,0.10849707348021598,0.028257218697271595,0.2895349185028094,0.307633747357126,0.76554104317353,0.574976627047269
39,scatter,8,pso,0.0,0.0,0.0,0.0,0.10205000237481021,0.020788528070362623,0.33226018559754417,0.3082634238019887,0.8635913089122406,0.5782835491338796
40,scatter,9,aco,0.0,0.0,0.0,0.0,0.4759297936682921,0.07522443384994144,0.2969487129432276,0.23770998850942315,0.9843445518842442,0.5401353652123561
41,scatter,9,coverage,0.0,0.0,0.0,0.0,0.4049028755154482,0.09668670716613721,0.28120992840054904,0.2599548821812769,0.8590760146073144,0.4634355993517375
42,scatter,9,flood_fill,0.0,0.0,0.0,0.0,0.4920142253575587,0.08799203782123033,0.2914615488338041,0.24428200706647168,1.0415881490415777,0.6009238191604837
43,scatter,9,projet,0.0,0.0,0.0,0.0,0.1500179915715549,0.04076449444126033,0.2960108429621405,0.2658910617188806,1.2462508647239732,0.4832278421013241
44,scatter,9,pso,0.0,0.0,0.0,0.0,0.13444945688661353,0.014774485861430056,0.5877057563954224,0.26953051120232085,1.1870312372151621,0.5714203079051181
45,scatter,10,aco,0.0,0.0,0.0,0.0,0.5176717049610651,0.07517147718238425,0.23668253078578744,0.2343653260112564,0.9688118314276055,0.4366767451765984
46,scatter,10,coverage,0.0,0.0,0.0,0.0,0.3853947755342452,0.10697619678519854,0.42628242009691497,0.3184395050178854,1.1418381858504123,0.5134962913131413
47,scatter,10,flood_fill,0.0,0.0,0.0,0.0,0.5339009472851359,0.09043082077908855,0.29068730442987356,0.24472425880801477,1.190220402947288,0.6673485926500714
48,scatter,10,projet,0.0,0.0,0.0,0.0,0.16554240256250255,0.059032596716633655,0.17702178196724166,0.15534516177098637,1.0551444083260741,0.5497622883433286
49,scatter,10,pso,0.0,0.0,0.0,0.0,0.15363170107829868,0.022054812310535635,0.48721169481094473,0.2721510140723418,1.1932205193647156,0.534697685415026
