0,1,-4.545300,4.148360,0
1,1,-4.701740,4.511400,0
2,1,-4.681450,4.810460,0
3,1,-4.047620,4.509650,0
4,1,-4.544630,4.504490,0
5,1,-4.132410,4.648310,0
6,1,-4.711350,4.276190,0
7,1,-4.793470,4.679020,0
8,1,-4.307940,4.370230,0
9,1,-4.382140,4.564320,0
0,2,-4.548100,4.152004,0
1,2,-4.700150,4.507634,0
2,2,-4.681561,4.810397,0
3,2,-4.042349,4.501448,0
4,2,-4.542340,4.505548,0
5,2,-4.136444,4.657187,0
6,2,-4.715213,4.273842,0
7,2,-4.789898,4.676301,0
8,2,-4.308186,4.371350,0
9,2,-4.379900,4.564439,0
0,3,-4.550568,4.154965,0
1,3,-4.698366,4.500143,0
2,3,-4.675304,4.814889,0
3,3,-4.035680,4.491070,0
4,3,-4.534873,4.508245,0
5,3,-4.141365,4.668015,0
6,3,-4.719720,4.271085,0
7,3,-4.787962,4.674552,0
8,3,-4.307824,4.368989,0
9,3,-4.371767,4.564322,0
0,4,-4.550332,4.154869,0
1,4,-4.697946,4.496593,0
2,4,-4.668931,4.820351,0
3,4,-4.031119,4.483973,0
4,4,-4.529784,4.509560,0
5,4,-4.144726,4.675412,0
6,4,-4.724394,4.268194,0
7,4,-4.786722,4.673240,0
8,4,-4.307673,4.367047,0
9,4,-4.362390,4.564080,0
0,5,-4.548885,4.154099,0
1,5,-4.698463,4.492088,0
2,5,-4.664677,4.824836,0
3,5,-4.027562,4.478437,0
4,5,-4.525011,4.510554,0
5,5,-4.147357,4.681233,0
6,5,-4.729120,4.265210,0
7,5,-4.785997,4.672385,0
8,5,-4.307683,4.366148,0
9,5,-4.353432,4.563795,0
0,6,-4.547311,4.153686,0
1,6,-4.698106,4.493855,0
2,6,-4.662721,4.827428,0
3,6,-4.024437,4.473576,0
4,6,-4.520119,4.511461,0
5,6,-4.149646,4.686377,0
6,6,-4.733889,4.262125,0
7,6,-4.785122,4.671324,0
8,6,-4.307620,4.366591,0
9,6,-4.345449,4.563394,0
0,7,-4.542202,4.153649,0
1,7,-4.697633,4.496217,0
2,7,-4.662620,4.827534,0
3,7,-4.021557,4.469095,0
4,7,-4.514541,4.512382,0
5,7,-4.151713,4.691144,0
6,7,-4.738507,4.259055,0
7,7,-4.784255,4.670307,0
8,7,-4.307388,4.367656,0
9,7,-4.338857,4.562874,0
0,8,-4.533850,4.155117,0
1,8,-4.697290,4.497984,0
2,8,-4.663548,4.824999,0
3,8,-4.018833,4.464855,0
4,8,-4.509391,4.513142,0
5,8,-4.153656,4.695768,0
6,8,-4.742953,4.256030,0
7,8,-4.783383,4.669336,0
8,8,-4.307201,4.368272,0
9,8,-4.333176,4.562238,0
0,9,-4.524760,4.158320,0
1,9,-4.697071,4.499300,0
2,9,-4.664391,4.821374,0
3,9,-4.016129,4.460648,0
4,9,-4.505187,4.513697,0
5,9,-4.155541,4.700398,0
6,9,-4.747263,4.253051,0
7,9,-4.782480,4.668377,0
8,9,-4.307171,4.368355,0
9,9,-4.327542,4.561338,0
0,10,-4.516451,4.162973,0
1,10,-4.696945,4.500296,0
2,10,-4.664601,4.819579,0
3,10,-4.013426,4.456441,0
4,10,-4.501565,4.514128,0
5,10,-4.157391,4.705044,0
6,10,-4.751467,4.250114,0
7,10,-4.781650,4.667517,0
8,10,-4.307321,4.368107,0
9,10,-4.321236,4.559908,0
0,11,-4.509482,4.168223,0
1,11,-4.696871,4.501193,0
2,11,-4.664573,4.818688,0
3,11,-4.010723,4.452235,0
4,11,-4.498175,4.514495,0
5,11,-4.159231,4.709693,0
6,11,-4.755590,4.247218,0
7,11,-4.781062,4.666910,0
8,11,-4.307542,4.367827,0
9,11,-4.314194,4.557718,0
0,12,-4.503586,4.173471,0
1,12,-4.696833,4.502266,0
2,12,-4.664258,4.817175,0
3,12,-4.008019,4.448029,0
4,12,-4.494843,4.514827,0
5,12,-4.161070,4.714343,0
6,12,-4.759681,4.244339,0
7,12,-4.780786,4.666621,0
8,12,-4.307577,4.367788,0
9,12,-4.307570,4.555055,0
0,13,-4.498562,4.178282,0
1,13,-4.696846,4.503660,0
2,13,-4.663305,4.814560,0
3,13,-4.005317,4.443822,0
4,13,-4.491639,4.515126,0
5,13,-4.162909,4.718992,0
6,13,-4.763770,4.241461,0
7,13,-4.780824,4.666663,0
8,13,-4.307084,4.368126,0
9,13,-4.302652,4.552420,0
0,14,-4.494166,4.182545,0
1,14,-4.696943,4.505504,0
2,14,-4.661393,4.810748,0
3,14,-4.002614,4.439616,0
4,14,-4.488765,4.515379,0
5,14,-4.164828,4.723845,0
6,14,-4.767858,4.238583,0
7,14,-4.781208,4.667077,0
8,14,-4.305687,4.368865,0
9,14,-4.299929,4.550448,0
0,15,-4.490126,4.186365,0
1,15,-4.697095,4.507144,0
2,15,-4.658863,4.806546,0
3,15,-3.999910,4.435410,0
4,15,-4.486409,4.515579,0
5,15,-4.166797,4.728880,0
6,15,-4.771909,4.235731,0
7,15,-4.782012,4.667968,0
8,15,-4.302883,4.370013,0
9,15,-4.299371,4.549929,0
0,16,-4.486247,4.189859,0
1,16,-4.697187,4.507930,0
2,16,-4.656125,4.802822,0
3,16,-3.997207,4.431203,0
4,16,-4.484669,4.515723,0
5,16,-4.168756,4.733999,0
6,16,-4.775899,4.232917,0
7,16,-4.783201,4.669345,0
8,16,-4.298354,4.371521,0
9,16,-4.300295,4.551432,0
0,17,-4.482443,4.193075,0
1,17,-4.697187,4.507944,0
2,17,-4.652841,4.799446,0
3,17,-3.994504,4.426997,0
4,17,-4.483461,4.515821,0
5,17,-4.170676,4.739155,0
6,17,-4.779786,4.230165,0
7,17,-4.784590,4.671047,0
8,17,-4.293228,4.372727,0
9,17,-4.300586,4.552068,0
0,18,-4.478669,4.196037,0
1,18,-4.697058,4.507285,0
2,18,-4.648862,4.796533,0
3,18,-3.991801,4.422791,0
4,18,-4.482535,4.515894,0
5,18,-4.172549,4.744334,0
6,18,-4.783550,4.227481,0
7,18,-4.785975,4.672860,0
8,18,-4.287879,4.373237,0
9,18,-4.301577,4.556817,0
0,19,-4.474895,4.198765,0
1,19,-4.696759,4.506057,0
2,19,-4.644465,4.794224,0
3,19,-3.989098,4.418584,0
4,19,-4.481513,4.515970,0
5,19,-4.174387,4.749573,0
6,19,-4.787177,4.224875,0
7,19,-4.787204,4.674586,0
8,19,-4.282864,4.372938,0
9,19,-4.301734,4.563007,0
0,20,-4.471104,4.201272,0
1,20,-4.696249,4.504376,0
2,20,-4.638287,4.791562,0
3,20,-3.986395,4.414378,0
4,20,-4.479961,4.516076,0
5,20,-4.176203,4.754927,0
6,20,-4.790653,4.222351,0
7,20,-4.788193,4.676068,0
8,20,-4.278017,4.372070,0
9,20,-4.300951,4.568198,0
0,21,-4.467284,4.203568,0
1,21,-4.695492,4.502376,0
2,21,-4.631058,4.788961,0
3,21,-3.983691,4.410172,0
4,21,-4.477802,4.516209,0
5,21,-4.177989,4.760413,0
6,21,-4.792905,4.220696,0
7,21,-4.788914,4.677206,0
8,21,-4.273261,4.370978,0
9,21,-4.299625,4.572780,0
0,22,-4.463429,4.205661,0
1,22,-4.694479,4.500241,0
2,22,-4.623405,4.786839,0
3,22,-3.980988,4.405965,0
4,22,-4.475074,4.516356,0
5,22,-4.179729,4.766026,0
6,22,-4.795784,4.218285,0
7,22,-4.789368,4.677946,0
8,22,-4.268512,4.369877,0
9,22,-4.296868,4.578707,0
0,23,-4.459538,4.207559,0
1,23,-4.693317,4.498263,0
2,23,-4.615896,4.785387,0
3,23,-3.978285,4.401759,0
